
Hanson    	1	M	lighter green       	Healthy
Kimball   	1	M	red purple          	Healthy
Maggi     	1	F	red purple          	Healthy
Siana     	1	F	candy pink          	Healthy
Abagael   	1	F	red purple          	Healthy
Crysta    	1	F	red purple          	Healthy
Thornton  	1	M	red purple          	Healthy
Etienne   	1	M	red purple          	Healthy
Jeramie   	1	M	candy pink          	Healthy
Emmery    	1	M	red purple          	Healthy
Jaine     	0	F	red purple          	Healthy
Kipp      	0	F	candy pink          	Healthy
Mabelle   	0	F	red purple          	Healthy
Chery     	0	F	candy pink          	Healthy
Dev       	0	M	candy pink          	Healthy
Isaac     	0	M	red purple          	Healthy
Auberon   	0	M	red purple          	Healthy
Joleen    	0	F	candy pink          	Healthy
Jehu      	0	M	candy pink          	Healthy
Emery     	0	M	candy pink          	Healthy
Phaidra   	0	F	red purple          	Healthy
Gertrude  	0	F	red purple          	Healthy
Gaspard   	0	M	candy pink          	Healthy
Berny     	0	M	red purple          	Healthy
Harrie    	0	F	red purple          	Healthy
Teodoor   	0	M	candy pink          	Healthy
Maynord   	0	M	candy pink          	Healthy
Wainwright	0	M	red purple          	Healthy
Everard   	0	M	candy pink          	Healthy
Otha      	0	F	red purple          	Healthy
Bret      	0	M	red purple          	Healthy
Ritchie   	0	M	candy pink          	Healthy
Shaughn   	0	M	candy pink          	Healthy
Adaline   	0	F	candy pink          	Healthy
Jany      	0	F	red purple          	Healthy
Liz       	0	F	red purple          	Healthy
Anne-Corinne	0	F	candy pink          	Healthy
See       	0	M	red purple          	Healthy
Pieter    	0	M	red purple          	Healthy
Kipp      	0	M	candy pink          	Healthy
Rita      	0	F	red purple          	Healthy
Carrol    	0	M	red purple          	Healthy
Dilan     	0	M	red purple          	Healthy
Sharline  	0	F	red purple          	Healthy
Mace      	0	M	candy pink          	Healthy
Bax       	0	M	red purple          	Healthy
Trudi     	0	F	red purple          	Healthy
Isidoro   	0	M	candy pink          	Healthy
Carleen   	0	F	red purple          	Healthy
Corry     	0	F	red purple          	Healthy
Pincus    	0	M	candy pink          	Healthy
Arthur    	0	M	candy pink          	Healthy
Marna     	0	F	red purple          	Healthy
Daveta    	0	F	red purple          	Healthy
Kellina   	0	F	candy pink          	Healthy
Elfrida   	0	F	red purple          	Healthy
Brittne   	0	F	candy pink          	Healthy
Cello     	0	M	red purple          	Healthy
Jess      	0	F	red purple          	Healthy
Shara     	0	F	candy pink          	Healthy
Pen       	0	F	candy pink          	Healthy
------------------------------------------------------------------------
Shina     	10	F	red purple          	Healthy
Coralie   	10	F	candy pink          	Healthy
Colet     	10	M	red purple          	Healthy
Brendis   	9	M	red purple          	Healthy
Trude     	9	F	candy pink          	Healthy
Dugald    	9	M	red purple          	Healthy
Dulce     	9	F	red purple          	Healthy
Padriac   	9	M	candy pink          	Healthy
Collen    	8	F	red purple          	Healthy
Austen    	8	M	candy pink          	Healthy
Haily     	8	M	red purple          	Healthy
Jorgan    	8	M	red purple          	Healthy
Hyman     	8	M	candy pink          	Healthy
Riobard   	8	M	red purple          	Healthy
Christal  	8	F	candy pink          	Healthy
Robinette 	7	F	red purple          	Healthy
Renault   	7	M	candy pink          	Healthy
Kinnie    	7	M	red purple          	Healthy
Kit       	7	M	red purple          	Healthy
Lavina    	7	F	candy pink          	Healthy
Hartley   	7	M	red purple          	Healthy
Nelia     	7	F	candy pink          	Healthy
Etan      	7	M	candy pink          	Healthy
Gertrud   	7	F	red purple          	Healthy
Camellia  	6	F	red purple          	Healthy
Hazel     	6	F	candy pink          	Healthy
Hali      	6	F	red purple          	Healthy
Bambie    	6	F	red purple          	Healthy
Padriac   	6	M	candy pink          	Healthy
Celka     	6	F	red purple          	Healthy
Charis    	6	F	candy pink          	Healthy
Clo       	6	F	candy pink          	Healthy
Sloan     	6	M	red purple          	Healthy
Anna-Maria	6	F	red purple          	Healthy
Stormy    	6	F	candy pink          	Healthy
Irwinn    	5	M	red purple          	Healthy
Hobard    	5	M	candy pink          	Healthy
Trey      	5	M	red purple          	Healthy
Jewel     	5	F	red purple          	Healthy
Reginauld 	5	M	candy pink          	Healthy
Marcelline	5	F	red purple          	Healthy
Jeramie   	5	M	candy pink          	Healthy
Rollie    	5	M	candy pink          	Healthy
Paolina   	5	F	red purple          	Healthy
Anton     	5	M	red purple          	Healthy
Libby     	5	F	candy pink          	Healthy
Chance    	5	M	red purple          	Healthy
Shir      	5	F	candy pink          	Healthy
Dena      	5	F	candy pink          	Healthy
Elsa      	5	F	red purple          	Healthy
Meredithe 	4	F	red purple          	Healthy
Margie    	4	F	candy pink          	Healthy
Alejoa    	4	M	red purple          	Healthy
Edin      	4	F	red purple          	Healthy
Robb      	4	M	candy pink          	Healthy
Marcellina	4	F	red purple          	Healthy
Lorenzo   	4	M	candy pink          	Healthy
Angy      	4	F	candy pink          	Healthy
Ellie     	4	F	red purple          	Healthy
Almira    	4	F	red purple          	Healthy
Jimmy     	4	M	candy pink          	Healthy
Garnette  	4	F	red purple          	Healthy
Massimiliano	4	M	candy pink          	Healthy
Kincaid   	4	M	candy pink          	Healthy
Lexie     	4	F	red purple          	Healthy
Verene    	4	F	red purple          	Healthy
Launce    	4	M	candy pink          	Healthy
Yettie    	4	F	red purple          	Healthy
Tobiah    	4	M	red purple          	Healthy
Iggie     	4	M	red purple          	Healthy
Reade     	4	M	candy pink          	Healthy
Kriste    	4	F	candy pink          	Healthy
Dolly     	4	F	red purple          	Healthy
Ragnar    	4	M	candy pink          	Healthy
Mikkel    	3	M	red purple          	Healthy
Aprilette 	3	F	red purple          	Healthy
Alasdair  	3	M	candy pink          	Healthy
Haskell   	3	M	red purple          	Healthy
Wheeler   	3	M	candy pink          	Healthy
Cindee    	3	F	candy pink          	Healthy
Madelene  	3	F	red purple          	Healthy
Lenore    	3	F	red purple          	Healthy
Aube      	3	M	candy pink          	Healthy
Micheal   	3	M	red purple          	Healthy
Glennie   	3	F	candy pink          	Healthy
Bernhard  	3	M	candy pink          	Healthy
Hayward   	3	M	red purple          	Healthy
Forrester 	3	M	red purple          	Healthy
Denyse    	3	F	candy pink          	Healthy
Susanetta 	3	F	red purple          	Healthy
Elga      	3	F	red purple          	Healthy
Cecil     	3	F	red purple          	Healthy
Robers    	3	M	candy pink          	Healthy
Florie    	3	F	candy pink          	Healthy
Ricki     	3	F	red purple          	Healthy
Claudia   	3	F	candy pink          	Healthy
Helaine   	3	F	red purple          	Healthy
Brook     	3	F	red purple          	Healthy
Kippy     	3	F	red purple          	Healthy
Janella   	3	F	candy pink          	Healthy
Thedrick  	3	M	candy pink          	Healthy
Mary      	3	F	candy pink          	Healthy
Ludovika  	3	F	red purple          	Healthy
Deloria   	2	F	red purple          	Healthy
Orelie    	2	F	red purple          	Healthy
Kaitlin   	2	F	candy pink          	Healthy
Malia     	2	F	red purple          	Healthy
Pietro    	2	M	candy pink          	Healthy
Kincaid   	2	M	candy pink          	Healthy
Guthrie   	2	M	red purple          	Healthy
Kerk      	2	M	red purple          	Healthy
Carney    	2	M	candy pink          	Healthy
Immanuel  	2	M	candy pink          	Healthy
Willem    	2	M	candy pink          	Healthy
Holli     	2	F	red purple          	Healthy
Orlando   	2	M	red purple          	Healthy
Hinze     	2	M	candy pink          	Healthy
Huntington	2	M	red purple          	Healthy
Stephana  	2	F	red purple          	Healthy
Margo     	2	F	candy pink          	Healthy
Calhoun   	2	M	candy pink          	Healthy
Alf       	2	M	red purple          	Healthy
Adelheid  	2	F	candy pink          	Healthy
Kaitlyn   	2	F	red purple          	Healthy
Stanton   	2	M	red purple          	Healthy
Domenico  	2	M	red purple          	Healthy
Gerrilee  	2	F	candy pink          	Healthy
Monika    	2	F	candy pink          	Healthy
Nettie    	2	F	candy pink          	Healthy
Annis     	2	F	red purple          	Healthy
Elmira    	2	F	red purple          	Healthy
Jarid     	2	M	candy pink          	Healthy
Kimball   	2	M	red purple          	Healthy
Maggi     	2	F	red purple          	Healthy
Siana     	2	F	candy pink          	Healthy
Abagael   	2	F	red purple          	Healthy
Crysta    	2	F	red purple          	Healthy
Thornton  	2	M	red purple          	Healthy
Etienne   	2	M	red purple          	Healthy
Jeramie   	2	M	candy pink          	Healthy
Emmery    	2	M	red purple          	Healthy
Jaine     	1	F	red purple          	Healthy
Kipp      	1	F	candy pink          	Healthy
Mabelle   	1	F	red purple          	Healthy
Chery     	1	F	candy pink          	Healthy
Dev       	1	M	candy pink          	Healthy
Isaac     	1	M	red purple          	Healthy
Auberon   	1	M	red purple          	Healthy
Joleen    	1	F	candy pink          	Healthy
Jehu      	1	M	candy pink          	Healthy
Emery     	1	M	candy pink          	Healthy
Phaidra   	1	F	red purple          	Healthy
Gertrude  	1	F	red purple          	Healthy
Gaspard   	1	M	candy pink          	Healthy
Berny     	1	M	red purple          	Healthy
Harrie    	1	F	red purple          	Healthy
Teodoor   	1	M	candy pink          	Healthy
Maynord   	1	M	candy pink          	Healthy
Wainwright	1	M	red purple          	Healthy
Everard   	1	M	candy pink          	Healthy
Otha      	1	F	red purple          	Healthy
Bret      	1	M	red purple          	Healthy
Ritchie   	1	M	candy pink          	Healthy
Shaughn   	1	M	candy pink          	Healthy
Adaline   	1	F	candy pink          	Healthy
Jany      	1	F	red purple          	Healthy
Liz       	1	F	red purple          	Healthy
Anne-Corinne	1	F	candy pink          	Healthy
See       	1	M	red purple          	Healthy
Pieter    	1	M	red purple          	Healthy
Kipp      	1	M	candy pink          	Healthy
Rita      	1	F	red purple          	Healthy
Carrol    	1	M	red purple          	Healthy
Dilan     	1	M	red purple          	Healthy
Sharline  	1	F	red purple          	Healthy
Mace      	1	M	candy pink          	Healthy
Bax       	1	M	red purple          	Healthy
Trudi     	1	F	red purple          	Healthy
Isidoro   	1	M	candy pink          	Healthy
Carleen   	1	F	red purple          	Healthy
Corry     	1	F	red purple          	Healthy
Pincus    	1	M	candy pink          	Healthy
Arthur    	1	M	candy pink          	Healthy
Marna     	1	F	red purple          	Healthy
Daveta    	1	F	red purple          	Healthy
Kellina   	1	F	candy pink          	Healthy
Elfrida   	1	F	red purple          	Healthy
Brittne   	1	F	candy pink          	Healthy
Cello     	1	M	red purple          	Healthy
Jess      	1	F	red purple          	Healthy
Shara     	1	F	candy pink          	Healthy
Pen       	1	F	candy pink          	Healthy
Suzie     	0	F	red purple          	Healthy
Sigrid    	0	F	candy pink          	Healthy
Bret      	0	M	candy pink          	Healthy
Leshia    	0	F	red purple          	Healthy
Windy     	0	F	red purple          	Healthy
Lucila    	0	F	candy pink          	Healthy
Cloe      	0	F	red purple          	Healthy
Imogene   	0	F	candy pink          	Healthy
William   	0	M	candy pink          	Healthy
Marja     	0	F	red purple          	Healthy
Leonore   	0	F	candy pink          	Healthy
Gena      	0	F	red purple          	Healthy
Zachery   	0	M	red purple          	Healthy
Desi      	0	M	candy pink          	Healthy
Brooks    	0	M	candy pink          	Healthy
Riley     	0	M	red purple          	Healthy
Nikkie    	0	F	candy pink          	Healthy
Alyce     	0	F	candy pink          	Healthy
Colver    	0	M	candy pink          	Healthy
Benoit    	0	M	candy pink          	Healthy
Jaymee    	0	F	red purple          	Healthy
Willetta  	0	F	red purple          	Healthy
Duane     	0	M	candy pink          	Healthy
Roby      	0	F	candy pink          	Healthy
Rollins   	0	M	red purple          	Healthy
Muhammad  	0	M	red purple          	Healthy
Bren      	0	F	red purple          	Healthy
Winna     	0	F	candy pink          	Healthy
Leena     	0	F	red purple          	Healthy
Gabey     	0	F	candy pink          	Healthy
Randie    	0	F	red purple          	Healthy
Kele      	0	M	red purple          	Healthy
Jemie     	0	F	candy pink          	Healthy
Hubie     	0	M	red purple          	Healthy
Dyanne    	0	F	candy pink          	Healthy
Jamal     	0	M	red purple          	Healthy
Martelle  	0	F	candy pink          	Healthy
Bar       	0	M	red purple          	Healthy
Iver      	0	M	red purple          	Healthy
Wait      	0	M	red purple          	Healthy
Valle     	0	M	candy pink          	Healthy
Nanci     	0	F	candy pink          	Healthy
Alasdair  	0	M	red purple          	Healthy
Tarrance  	0	M	candy pink          	Healthy
Ryon      	0	M	red purple          	Healthy
Ainslie   	0	F	red purple          	Healthy
Annetta   	0	F	candy pink          	Healthy
Nicolina  	0	F	candy pink          	Healthy
Geri      	0	F	candy pink          	Healthy
Woodrow   	0	M	candy pink          	Healthy
Carny     	0	M	candy pink          	Healthy
Leora     	0	F	red purple          	Healthy
Bertie    	0	M	candy pink          	Healthy
King      	0	M	red purple          	Healthy
Pepito    	0	M	red purple          	Healthy
------------------------------------------------------------------------
Brendis   	10	M	red purple          	Healthy
Trude     	10	F	candy pink          	Healthy
Dugald    	10	M	red purple          	Healthy
Dulce     	10	F	red purple          	Healthy
Padriac   	10	M	candy pink          	Healthy
Collen    	9	F	red purple          	Healthy
Austen    	9	M	candy pink          	Healthy
Haily     	9	M	red purple          	Healthy
Jorgan    	9	M	red purple          	Healthy
Hyman     	9	M	candy pink          	Healthy
Riobard   	9	M	red purple          	Healthy
Christal  	9	F	candy pink          	Healthy
Robinette 	8	F	red purple          	Healthy
