
Ramsey    	1	M	muted purple        	Healthy
Vassily   	3	M	canary yellow       	Healthy
Delano    	3	M	canary yellow       	Healthy
Brendon   	3	M	hot green           	Healthy
Justin    	3	M	iris                	Healthy
Sophia    	3	F	brownish orange     	Radioactive
Earvin    	3	M	iris                	Healthy
Jinny     	3	F	canary yellow       	Healthy
Ugo       	3	M	hot green           	Healthy
Cloe      	3	F	iris                	Healthy
Lief      	3	M	brownish orange     	Healthy
Judon     	3	M	iris                	Healthy
Manon     	3	F	brownish orange     	Healthy
Darrin    	3	M	brownish orange     	Healthy
Erinn     	3	F	canary yellow       	Healthy
Betti     	3	F	brownish orange     	Healthy
Lilla     	2	F	iris                	Healthy
Timmi     	2	F	brownish orange     	Healthy
Lilah     	2	F	canary yellow       	Healthy
Nevsa     	2	F	hot green           	Healthy
Brunhilda 	2	F	iris                	Healthy
Nichols   	2	M	hot green           	Healthy
Spencer   	2	M	iris                	Healthy
Angie     	2	M	brownish orange     	Healthy
Alanna    	2	F	canary yellow       	Healthy
Riccardo  	2	M	canary yellow       	Healthy
Elset     	2	F	hot green           	Healthy
Elisha    	2	F	iris                	Healthy
Yuma      	2	M	brownish orange     	Healthy
Barri     	2	M	iris                	Healthy
Johnathon 	2	M	canary yellow       	Healthy
Cynthie   	2	F	hot green           	Healthy
Franciska 	2	F	iris                	Healthy
Giacopo   	2	M	brownish orange     	Healthy
Franni    	2	F	iris                	Healthy
Annamaria 	2	F	brownish orange     	Healthy
Chiquita  	2	F	brownish orange     	Healthy
Gerri     	2	M	canary yellow       	Healthy
Elnora    	2	F	brownish orange     	Healthy
Griffie   	2	M	iris                	Healthy
Umberto   	2	M	brownish orange     	Healthy
Sandro    	2	M	hot green           	Healthy
Leonore   	2	F	iris                	Healthy
Gerianne  	2	F	hot green           	Healthy
Ester     	2	F	iris                	Healthy
Irvin     	2	M	brownish orange     	Healthy
Sada      	2	F	canary yellow       	Healthy
Dilan     	2	M	iris                	Healthy
Corrianne 	2	F	brownish orange     	Healthy
Bealle    	2	M	iris                	Healthy
Efrem     	2	M	hot green           	Healthy
Jillene   	2	F	iris                	Healthy
Thelma    	2	F	brownish orange     	Radioactive
Shadow    	1	M	iris                	Healthy
Pennie    	1	M	hot green           	Healthy
Dierdre   	1	F	iris                	Healthy
Evered    	1	M	brownish orange     	Healthy
Tanner    	1	M	canary yellow       	Healthy
Joelle    	1	F	canary yellow       	Healthy
Sigrid    	1	F	hot green           	Healthy
Kori      	1	F	iris                	Healthy
Siegfried 	1	M	brownish orange     	Healthy
Anabella  	1	F	iris                	Healthy
Shae      	1	M	canary yellow       	Healthy
Edgardo   	1	M	hot green           	Healthy
Myrah     	1	F	brownish orange     	Radioactive
Leonie    	1	F	iris                	Healthy
Mufi      	1	F	brownish orange     	Healthy
Leora     	1	F	brownish orange     	Healthy
Tonya     	1	F	canary yellow       	Healthy
Em        	1	M	brownish orange     	Healthy
Frants    	1	M	iris                	Healthy
Krissie   	1	F	brownish orange     	Healthy
Hymie     	1	M	hot green           	Healthy
Leesa     	1	F	iris                	Healthy
Giff      	1	M	hot green           	Healthy
Oswell    	1	M	iris                	Healthy
Curran    	1	M	brownish orange     	Healthy
Radcliffe 	1	M	canary yellow       	Healthy
Kristian  	1	M	iris                	Healthy
Kiel      	1	M	brownish orange     	Healthy
Nye       	1	M	hot green           	Healthy
Hester    	1	F	brownish orange     	Healthy
Christabella	1	F	brownish orange     	Healthy
Jacquenetta	1	F	iris                	Healthy
Chevy     	1	M	brownish orange     	Healthy
Delmore   	1	M	canary yellow       	Healthy
Danella   	1	F	iris                	Radioactive
Jeno      	1	M	brownish orange     	Healthy
Violante  	1	F	canary yellow       	Healthy
Archie    	1	M	brownish orange     	Healthy
Verene    	0	F	iris                	Healthy
Caz       	0	M	hot green           	Healthy
Feliks    	0	M	iris                	Radioactive
Henrie    	0	F	brownish orange     	Healthy
Celestina 	0	F	canary yellow       	Healthy
Delmar    	0	M	canary yellow       	Healthy
Roslyn    	0	F	hot green           	Healthy
Arman     	0	M	iris                	Healthy
Nikolaos  	0	M	brownish orange     	Healthy
Ludvig    	0	M	iris                	Healthy
Noby      	0	M	canary yellow       	Healthy
Angelita  	0	F	hot green           	Healthy
Jessee    	0	M	iris                	Radioactive
Danette   	0	F	iris                	Healthy
Eolande   	0	F	brownish orange     	Healthy
Sherrie   	0	F	brownish orange     	Healthy
Patty     	0	M	canary yellow       	Healthy
Vanessa   	0	F	brownish orange     	Healthy
Merrie    	0	F	iris                	Healthy
Kari      	0	F	brownish orange     	Healthy
Julieta   	0	F	hot green           	Healthy
Sheff     	0	M	iris                	Healthy
Rosmunda  	0	F	hot green           	Healthy
Natassia  	0	F	iris                	Healthy
Damita    	0	F	brownish orange     	Healthy
Jerald    	0	M	canary yellow       	Healthy
Christi   	0	F	brownish orange     	Healthy
Cary      	0	M	iris                	Healthy
Nancey    	0	F	hot green           	Healthy
Pavla     	0	F	brownish orange     	Healthy
Humfrid   	0	M	brownish orange     	Healthy
Ruthie    	0	F	brownish orange     	Healthy
Maureen   	0	F	canary yellow       	Healthy
Marcelle  	0	F	brownish orange     	Healthy
Francisco 	0	M	canary yellow       	Healthy
Alanson   	0	M	brownish orange     	Healthy
Emmy      	0	F	iris                	Healthy
Lauree    	0	F	brownish orange     	Healthy
Chrissy   	0	F	canary yellow       	Healthy
Jeannette 	0	F	hot green           	Healthy
Cally     	0	F	canary yellow       	Healthy
Donall    	0	M	hot green           	Healthy
Jarvis    	0	M	iris                	Healthy
Tuck      	0	M	hot green           	Healthy
Lynsey    	0	F	iris                	Healthy
Ly        	0	M	iris                	Healthy
Priscella 	0	F	brownish orange     	Healthy
Rab       	0	M	brownish orange     	Healthy
Genna     	0	F	brownish orange     	Healthy
Cecilia   	0	F	iris                	Healthy
Bernhard  	0	M	hot green           	Healthy
Penelope  	0	F	iris                	Healthy
Kerr      	0	M	canary yellow       	Healthy
Rasia     	0	F	brownish orange     	Healthy
------------------------------------------------------------------------
Nariko    	10	F	iris                	Healthy
Gilda     	10	F	brownish orange     	Healthy
Elmo      	10	M	canary yellow       	Healthy
Gilberto  	10	M	hot green           	Healthy
Pietro    	9	M	iris                	Healthy
Griffith  	9	M	brownish orange     	Healthy
Karmen    	9	F	canary yellow       	Healthy
Sancho    	9	M	hot green           	Healthy
Darnall   	9	M	iris                	Healthy
Kenn      	9	M	hot green           	Healthy
Bertram   	8	M	iris                	Healthy
Sax       	8	M	brownish orange     	Healthy
Rhetta    	8	F	canary yellow       	Healthy
Vikki     	8	F	hot green           	Healthy
Keary     	8	M	iris                	Healthy
Clem      	8	M	hot green           	Healthy
Alexine   	8	F	iris                	Healthy
Allis     	8	F	brownish orange     	Healthy
Abagael   	7	F	iris                	Healthy
Eli       	7	M	brownish orange     	Healthy
Viviene   	7	F	canary yellow       	Healthy
Ronnie    	7	M	hot green           	Healthy
Ogdan     	7	M	iris                	Healthy
Geralda   	7	F	hot green           	Healthy
Rhetta    	7	F	iris                	Healthy
Perry     	7	F	brownish orange     	Radioactive
Winslow   	7	M	canary yellow       	Healthy
Prudi     	6	F	iris                	Healthy
Keeley    	6	F	brownish orange     	Healthy
Thom      	6	M	canary yellow       	Healthy
Cirilo    	6	M	hot green           	Healthy
Thatch    	6	M	iris                	Healthy
Merv      	6	M	hot green           	Healthy
Gian      	6	M	iris                	Healthy
Charin    	6	F	brownish orange     	Healthy
Joyan     	6	F	canary yellow       	Healthy
Berty     	6	M	canary yellow       	Healthy
Ryan      	6	M	hot green           	Healthy
Talbot    	6	M	iris                	Healthy
Lindsey   	6	F	brownish orange     	Radioactive
Denise    	5	F	iris                	Healthy
Quintana  	5	F	brownish orange     	Healthy
Pepito    	5	M	canary yellow       	Healthy
Oralee    	5	F	hot green           	Healthy
Barbara-Anne	5	F	iris                	Healthy
Dina      	5	F	hot green           	Healthy
Eustacia  	5	F	iris                	Radioactive
Jilly     	5	F	brownish orange     	Healthy
Carolee   	5	F	canary yellow       	Healthy
Haskell   	5	M	canary yellow       	Healthy
Scottie   	5	M	hot green           	Healthy
Sydel     	5	F	iris                	Healthy
Ninetta   	5	F	brownish orange     	Radioactive
Vivian    	5	F	iris                	Healthy
Rowan     	5	M	canary yellow       	Healthy
Faina     	5	F	hot green           	Healthy
Consuelo  	5	F	iris                	Healthy
Janine    	5	F	brownish orange     	Radioactive
Lorne     	4	M	iris                	Healthy
Willi     	4	F	brownish orange     	Radioactive
Inger     	4	M	canary yellow       	Healthy
Alexis    	4	M	hot green           	Healthy
Dwain     	4	M	iris                	Healthy
Zebulon   	4	M	hot green           	Healthy
Janeen    	4	F	iris                	Healthy
Anton     	4	M	brownish orange     	Healthy
Vassily   	4	M	canary yellow       	Healthy
Delano    	4	M	canary yellow       	Healthy
Brendon   	4	M	hot green           	Healthy
Justin    	4	M	iris                	Healthy
Sophia    	4	F	brownish orange     	Radioactive
Earvin    	4	M	iris                	Healthy
Jinny     	4	F	canary yellow       	Healthy
Ugo       	4	M	hot green           	Healthy
Cloe      	4	F	iris                	Healthy
Lief      	4	M	brownish orange     	Healthy
Judon     	4	M	iris                	Healthy
Manon     	4	F	brownish orange     	Healthy
Darrin    	4	M	brownish orange     	Healthy
Erinn     	4	F	canary yellow       	Healthy
Betti     	4	F	brownish orange     	Healthy
Lilla     	3	F	iris                	Healthy
Timmi     	3	F	brownish orange     	Healthy
Lilah     	3	F	canary yellow       	Healthy
Nevsa     	3	F	hot green           	Healthy
Brunhilda 	3	F	iris                	Healthy
Nichols   	3	M	hot green           	Healthy
Spencer   	3	M	iris                	Healthy
Angie     	3	M	brownish orange     	Healthy
Alanna    	3	F	canary yellow       	Healthy
Riccardo  	3	M	canary yellow       	Healthy
Elset     	3	F	hot green           	Healthy
Elisha    	3	F	iris                	Healthy
Yuma      	3	M	brownish orange     	Healthy
Barri     	3	M	iris                	Healthy
Johnathon 	3	M	canary yellow       	Healthy
Cynthie   	3	F	hot green           	Healthy
Franciska 	3	F	iris                	Healthy
Giacopo   	3	M	brownish orange     	Healthy
Franni    	3	F	iris                	Healthy
Annamaria 	3	F	brownish orange     	Healthy
Chiquita  	3	F	brownish orange     	Healthy
Gerri     	3	M	canary yellow       	Healthy
Elnora    	3	F	brownish orange     	Healthy
Griffie   	3	M	iris                	Healthy
Umberto   	3	M	brownish orange     	Radioactive
Sandro    	3	M	hot green           	Healthy
Leonore   	3	F	iris                	Healthy
Gerianne  	3	F	hot green           	Healthy
Ester     	3	F	iris                	Healthy
Irvin     	3	M	brownish orange     	Healthy
Sada      	3	F	canary yellow       	Healthy
Dilan     	3	M	iris                	Healthy
Corrianne 	3	F	brownish orange     	Healthy
Bealle    	3	M	iris                	Healthy
Efrem     	3	M	hot green           	Healthy
Jillene   	3	F	iris                	Radioactive
Thelma    	3	F	brownish orange     	Radioactive
Shadow    	2	M	iris                	Healthy
Pennie    	2	M	hot green           	Healthy
Dierdre   	2	F	iris                	Radioactive
Evered    	2	M	brownish orange     	Healthy
Tanner    	2	M	canary yellow       	Healthy
Joelle    	2	F	canary yellow       	Healthy
Sigrid    	2	F	hot green           	Healthy
Kori      	2	F	iris                	Healthy
Siegfried 	2	M	brownish orange     	Healthy
Anabella  	2	F	iris                	Healthy
Shae      	2	M	canary yellow       	Healthy
Edgardo   	2	M	hot green           	Healthy
Myrah     	2	F	brownish orange     	Radioactive
Leonie    	2	F	iris                	Healthy
Mufi      	2	F	brownish orange     	Radioactive
Leora     	2	F	brownish orange     	Healthy
Tonya     	2	F	canary yellow       	Healthy
Em        	2	M	brownish orange     	Healthy
Frants    	2	M	iris                	Healthy
Krissie   	2	F	brownish orange     	Healthy
Hymie     	2	M	hot green           	Healthy
Leesa     	2	F	iris                	Healthy
Giff      	2	M	hot green           	Healthy
Oswell    	2	M	iris                	Healthy
Curran    	2	M	brownish orange     	Healthy
Radcliffe 	2	M	canary yellow       	Healthy
Kristian  	2	M	iris                	Healthy
Kiel      	2	M	brownish orange     	Healthy
Nye       	2	M	hot green           	Healthy
Hester    	2	F	brownish orange     	Healthy
Christabella	2	F	brownish orange     	Healthy
Jacquenetta	2	F	iris                	Healthy
Chevy     	2	M	brownish orange     	Radioactive
Delmore   	2	M	canary yellow       	Healthy
Danella   	2	F	iris                	Radioactive
Jeno      	2	M	brownish orange     	Healthy
Violante  	2	F	canary yellow       	Healthy
Archie    	2	M	brownish orange     	Healthy
Verene    	1	F	iris                	Healthy
Caz       	1	M	hot green           	Healthy
Feliks    	1	M	iris                	Radioactive
Henrie    	1	F	brownish orange     	Healthy
Celestina 	1	F	canary yellow       	Healthy
Delmar    	1	M	canary yellow       	Healthy
Roslyn    	1	F	hot green           	Healthy
Arman     	1	M	iris                	Healthy
Nikolaos  	1	M	brownish orange     	Healthy
Ludvig    	1	M	iris                	Healthy
Noby      	1	M	canary yellow       	Healthy
Angelita  	1	F	hot green           	Healthy
Jessee    	1	M	iris                	Radioactive
Danette   	1	F	iris                	Healthy
Eolande   	1	F	brownish orange     	Healthy
Sherrie   	1	F	brownish orange     	Healthy
Patty     	1	M	canary yellow       	Healthy
Vanessa   	1	F	brownish orange     	Radioactive
Merrie    	1	F	iris                	Healthy
Kari      	1	F	brownish orange     	Healthy
Julieta   	1	F	hot green           	Healthy
Sheff     	1	M	iris                	Healthy
Rosmunda  	1	F	hot green           	Healthy
Natassia  	1	F	iris                	Healthy
Damita    	1	F	brownish orange     	Healthy
Jerald    	1	M	canary yellow       	Healthy
Christi   	1	F	brownish orange     	Healthy
Cary      	1	M	iris                	Healthy
